time,dof,velocity,ext_force,lenz_force
0.000000e+00,-1.700000000000e+00,0.000000000000e+00,2.000000000000e+01,0.000000000000e+00
1.000000e-02,-1.697980327993e+00,4.032347579052e-01,2.000000000000e+01,2.074534974105e-01
2.000000e-02,-1.691949746867e+00,8.021267842710e-01,2.000000000000e+01,4.318011533066e-01
3.000000e-02,-1.681954060461e+00,1.196135131658e+00,2.000000000000e+01,6.934597810313e-01
4.000000e-02,-1.668046725252e+00,1.584235033047e+00,2.000000000000e+01,1.019966968513e+00
5.000000e-02,-1.650294392585e+00,1.964808782143e+00,2.000000000000e+01,1.444939068152e+00
6.000000e-02,-1.628784135924e+00,2.335305276144e+00,2.000000000000e+01,2.022196824028e+00
7.000000e-02,-1.603634179072e+00,2.691988367332e+00,2.000000000000e+01,2.820056505151e+00
8.000000e-02,-1.575008890255e+00,3.029235705996e+00,2.000000000000e+01,3.957494825735e+00
9.000000e-02,-1.543141236219e+00,3.338826744790e+00,2.000000000000e+01,5.588696622206e+00
1.000000e-01,-1.508364226216e+00,3.608707681556e+00,2.000000000000e+01,7.912426272619e+00
1.100000e-01,-1.471154999446e+00,3.821943316724e+00,2.000000000000e+01,1.123326641919e+01
1.200000e-01,-1.432189383991e+00,3.955770547042e+00,2.000000000000e+01,1.579711384039e+01
1.300000e-01,-1.392395738711e+00,3.982788596808e+00,2.000000000000e+01,2.178502945928e+01
1.400000e-01,-1.352981337657e+00,3.876061707932e+00,2.000000000000e+01,2.887518249924e+01
1.500000e-01,-1.315375037008e+00,3.620269408024e+00,2.000000000000e+01,3.625198112375e+01
1.600000e-01,-1.281036590582e+00,3.227234803099e+00,2.000000000000e+01,4.217163059727e+01
1.700000e-01,-1.251137810649e+00,2.742940570671e+00,2.000000000000e+01,4.503272808778e+01
1.800000e-01,-1.226251201544e+00,2.236964413686e+00,2.000000000000e+01,4.429837369533e+01
1.900000e-01,-1.206244191630e+00,1.776445887653e+00,2.000000000000e+01,4.076536123945e+01
2.000000e-01,-1.190432164387e+00,1.401628162159e+00,2.000000000000e+01,3.614263051938e+01
2.100000e-01,-1.177893128666e+00,1.121421468385e+00,2.000000000000e+01,3.163188018205e+01
2.200000e-01,-1.167726606515e+00,9.240426433866e-01,2.000000000000e+01,2.802152034900e+01
2.300000e-01,-1.159202371949e+00,7.896086364991e-01,2.000000000000e+01,2.540820568983e+01
2.400000e-01,-1.151788603527e+00,6.989979448451e-01,2.000000000000e+01,2.367603597165e+01
2.500000e-01,-1.145129845527e+00,6.364702394476e-01,2.000000000000e+01,2.257320023647e+01
2.600000e-01,-1.139000089755e+00,5.917841726320e-01,2.000000000000e+01,2.188745130833e+01
2.700000e-01,-1.133256962731e+00,5.582957523594e-01,2.000000000000e+01,2.145760255077e+01
2.800000e-01,-1.127811851664e+00,5.316258152198e-01,2.000000000000e+01,2.119055865605e+01
2.900000e-01,-1.122609476148e+00,5.094314133635e-01,2.000000000000e+01,2.101733174076e+01
3.000000e-01,-1.117613941843e+00,4.900881067076e-01,2.000000000000e+01,2.089549569001e+01
3.100000e-01,-1.112800324035e+00,4.729494851437e-01,2.000000000000e+01,2.080312293434e+01
3.200000e-01,-1.108149637342e+00,4.574427921353e-01,2.000000000000e+01,2.072819084375e+01
3.300000e-01,-1.103646697257e+00,4.433525057348e-01,2.000000000000e+01,2.066971201821e+01
3.400000e-01,-1.099279620389e+00,4.302129370759e-01,2.000000000000e+01,2.062539991880e+01
3.500000e-01,-1.095039238545e+00,4.180256213914e-01,2.000000000000e+01,2.057726710904e+01
3.600000e-01,-1.090916335843e+00,4.066748580218e-01,2.000000000000e+01,2.054178074547e+01
3.700000e-01,-1.086903180351e+00,3.960866809666e-01,2.000000000000e+01,2.050316668995e+01
3.800000e-01,-1.082992109848e+00,3.862280394987e-01,2.000000000000e+01,2.047309744057e+01
3.900000e-01,-1.079176846795e+00,3.769206511035e-01,2.000000000000e+01,2.044479030242e+01
4.000000e-01,-1.075451716705e+00,3.682042913981e-01,2.000000000000e+01,2.041557065066e+01
4.100000e-01,-1.071811116101e+00,3.599779548375e-01,2.000000000000e+01,2.039632264570e+01
4.200000e-01,-1.068250750016e+00,3.521717371430e-01,2.000000000000e+01,2.037377096438e+01
4.300000e-01,-1.064766136553e+00,3.448271332610e-01,2.000000000000e+01,2.035190772175e+01
4.400000e-01,-1.061353065491e+00,3.378391124227e-01,2.000000000000e+01,2.033671352792e+01
4.500000e-01,-1.058008185818e+00,3.311976951693e-01,2.000000000000e+01,2.031857698092e+01
4.600000e-01,-1.054727882355e+00,3.249215551906e-01,2.000000000000e+01,2.030124467845e+01
4.700000e-01,-1.051508751420e+00,3.189494215285e-01,2.000000000000e+01,2.028773471612e+01
4.800000e-01,-1.048347917730e+00,3.132666988380e-01,2.000000000000e+01,2.027309541132e+01
4.900000e-01,-1.045242442269e+00,3.078753929296e-01,2.000000000000e+01,2.025908505112e+01
