time,dof,velocity,ext_force,lenz_force
4.600000e-01,4.137141717968e+01,2.919859030650e+02,3.897949081695e-01,7.883666208411e+01
4.700000e-01,4.439225981291e+01,3.123761102768e+02,4.125769071383e-01,9.448908964381e+01
4.800000e-01,4.762282005551e+01,3.339331284632e+02,4.356701796672e-01,1.126339192017e+02
4.900000e-01,5.107483528683e+01,3.566665666217e+02,4.588144010876e-01,1.334229391026e+02
5.000000e-01,5.476004520730e+01,3.805708986579e+02,4.816826382762e-01,1.569103466714e+02
5.100000e-01,5.869006696501e+01,4.056222941894e+02,5.038729818589e-01,1.830029037272e+02
5.200000e-01,6.287615120520e+01,4.317743415457e+02,5.249005168203e-01,2.113999360545e+02
5.300000e-01,6.732896819651e+01,4.589536987156e+02,5.441915668699e-01,2.415274572865e+02
5.400000e-01,7.205829488828e+01,4.870557118215e+02,5.610807446497e-01,2.724729479401e+02
5.500000e-01,7.707268283913e+01,5.159393819452e+02,5.748128553877e-01,3.029323431297e+02
5.600000e-01,8.237908473992e+01,5.454233380048e+02,5.845513069950e-01,3.311867924349e+02
5.700000e-01,8.798240885281e+01,5.752821316888e+02,5.893949334810e-01,3.551302784353e+02
5.800000e-01,9.388507804827e+01,6.052425038121e+02,5.884052526265e-01,3.723715748077e+02
