time,dof,velocity,ext_force,lenz_force
2.900000e-01,5.884052625942e+00,1.137682036011e+01,7.319448943218e-02,7.835344105915e-02
3.000000e-01,5.996792414184e+00,1.117179522624e+01,7.459183623765e-02,7.966058321819e-02
3.100000e-01,6.107506149587e+00,1.097213824019e+01,7.596379021597e-02,8.085951178904e-02
3.200000e-01,6.216262064372e+00,1.078058803309e+01,7.731120693996e-02,8.197910915018e-02
3.300000e-01,6.323150587485e+00,1.059886811653e+01,7.863521647740e-02,8.304308726437e-02
3.400000e-01,6.428275214819e+00,1.042790179510e+01,7.993711003235e-02,8.407022292021e-02
3.500000e-01,6.531744218327e+00,1.026726047246e+01,8.121823711394e-02,8.517458095025e-02
3.600000e-01,6.633624897512e+00,1.010894274940e+01,8.247943918574e-02,8.641945941551e-02
3.700000e-01,6.733931105770e+00,9.952921878500e+00,8.372089580358e-02,8.756549938548e-02
3.800000e-01,6.832699992267e+00,9.801828940574e+00,8.494307479587e-02,8.864094615114e-02
3.900000e-01,6.929989541527e+00,9.657281001772e+00,8.614670151852e-02,8.966756277005e-02
4.000000e-01,7.025870194187e+00,9.520160058078e+00,8.733265494627e-02,9.066175273517e-02
4.100000e-01,7.120418419654e+00,9.390820360890e+00,8.850188802876e-02,9.163550265181e-02
4.200000e-01,7.213712261454e+00,9.269249141170e+00,8.965537253346e-02,9.259724845754e-02
4.300000e-01,7.305828284665e+00,9.155194087580e+00,9.079406128704e-02,9.355269026138e-02
4.400000e-01,7.396839811061e+00,9.048252850716e+00,9.191886637694e-02,9.450543412506e-02
4.500000e-01,7.486815558167e+00,8.947950794432e+00,9.303064237043e-02,9.545764882214e-02
4.600000e-01,7.575809257893e+00,8.850458641236e+00,9.413005812927e-02,9.659009844504e-02
4.700000e-01,7.663820583118e+00,8.751831402005e+00,9.521711443463e-02,9.767504763048e-02
4.800000e-01,7.750849627675e+00,8.654315622977e+00,9.629181735996e-02,9.870010901377e-02
4.900000e-01,7.836915592037e+00,8.559406566755e+00,9.735440893518e-02,9.968477841553e-02
