time,dof,velocity,ext_force,lenz_force
0.000000e+00,-1.700000000000e+00,0.000000000000e+00,2.000000000000e+01,0.000000000000e+00
1.000000e-02,-1.697973377261e+00,4.053245458972e-01,2.000000000000e+01,2.085395595974e-01
2.000000e-02,-1.691893509072e+00,8.106490917944e-01,2.000000000000e+01,4.365726144096e-01
3.000000e-02,-1.681760395425e+00,1.215973637692e+00,2.000000000000e+01,7.059988384526e-01
4.000000e-02,-1.667574036319e+00,1.621298183589e+00,2.000000000000e+01,1.047513644848e+00
5.000000e-02,-1.649334431753e+00,2.026622729486e+00,2.000000000000e+01,1.501547882736e+00
6.000000e-02,-1.627041581729e+00,2.431947275383e+00,2.000000000000e+01,2.133530111895e+00
7.000000e-02,-1.600695486246e+00,2.837271821280e+00,2.000000000000e+01,3.043182296765e+00
8.000000e-02,-1.570296145303e+00,3.242596367177e+00,2.000000000000e+01,4.398122152543e+00
9.000000e-02,-1.535843558902e+00,3.647920913075e+00,2.000000000000e+01,6.457091835485e+00
1.000000e-01,-1.497337727042e+00,4.053245458972e+00,2.000000000000e+01,9.697476180348e+00
1.100000e-01,-1.454778649723e+00,4.458570004869e+00,2.000000000000e+01,1.487083113568e+01
1.200000e-01,-1.408166326944e+00,4.863894550766e+00,2.000000000000e+01,2.346078785170e+01
1.300000e-01,-1.357500758707e+00,5.269219096663e+00,2.000000000000e+01,3.788734434142e+01
1.400000e-01,-1.302781945011e+00,5.674543642560e+00,2.000000000000e+01,6.260545786658e+01
1.500000e-01,-1.244009885856e+00,6.079868188458e+00,2.000000000000e+01,1.054154240062e+02
1.600000e-01,-1.181184581242e+00,6.485192734355e+00,2.000000000000e+01,1.786873765957e+02
1.700000e-01,-1.114306031169e+00,6.890517280252e+00,2.000000000000e+01,3.001248656452e+02
1.800000e-01,-1.043374235637e+00,7.295841826149e+00,2.000000000000e+01,4.849744872548e+02
1.900000e-01,-9.683891946460e-01,7.701166372046e+00,2.000000000000e+01,7.182806177757e+02
2.000000e-01,-8.893509081960e-01,8.106490917944e+00,2.000000000000e+01,9.035517891808e+02
2.100000e-01,-8.062593762871e-01,8.511815463841e+00,2.000000000000e+01,8.637422741807e+02
2.200000e-01,-7.191145989192e-01,8.917140009738e+00,2.000000000000e+01,5.301976451331e+02
2.300000e-01,-6.279165760924e-01,9.322464555635e+00,2.000000000000e+01,1.673097847633e+02
