time,dof,velocity,ext_force,lenz_force
2.600000e-01,5.488754324305e+00,1.081016248356e+01,5.641082052876e-02,6.112953267641e-02
2.700000e-01,5.595663565363e+00,1.057247692973e+01,5.750612111345e-02,6.212965124794e-02
2.800000e-01,5.700224903551e+00,1.034100897366e+01,5.857717345295e-02,6.305416206072e-02
2.900000e-01,5.802512066559e+00,1.011793924638e+01,5.962474200939e-02,6.392034545514e-02
3.000000e-01,5.902616623110e+00,9.904677091818e+00,6.064977354904e-02,6.474298353808e-02
3.100000e-01,6.000640892647e+00,9.702001194938e+00,6.165332437838e-02,6.553425126829e-02
3.200000e-01,6.096692866970e+00,9.510174524803e+00,6.263650825481e-02,6.630367279151e-02
3.300000e-01,6.190880632328e+00,9.329111776925e+00,6.360043924418e-02,6.705860998487e-02
3.400000e-01,6.283309959658e+00,9.158464634409e+00,6.454620705612e-02,6.780444205553e-02
3.500000e-01,6.374082697130e+00,8.997693114902e+00,6.547486061427e-02,6.854477607063e-02
3.600000e-01,6.463294574862e+00,8.846163939149e+00,6.638738563280e-02,6.928195535943e-02
3.700000e-01,6.551034808746e+00,8.703196976657e+00,6.728470061490e-02,7.001731972319e-02
3.800000e-01,6.637385052081e+00,8.568135340641e+00,6.816764618771e-02,7.075170898346e-02
3.900000e-01,6.722421333876e+00,8.440300913992e+00,6.903700497993e-02,7.148515037346e-02
4.000000e-01,6.806212995224e+00,8.319064075167e+00,6.989349079695e-02,7.221741732709e-02
4.100000e-01,6.888822878529e+00,8.203864168856e+00,7.073775061041e-02,7.294826592209e-02
4.200000e-01,6.970308582253e+00,8.094183252327e+00,7.157037743229e-02,7.367729418312e-02
4.300000e-01,7.050723179749e+00,7.989536574081e+00,7.239191770142e-02,7.440391234408e-02
4.400000e-01,7.130114828384e+00,7.889508893182e+00,7.320286732805e-02,7.512771420404e-02
4.500000e-01,7.208527915248e+00,7.793728198657e+00,7.400368343441e-02,7.584831717582e-02
4.600000e-01,7.286003313759e+00,7.701866218351e+00,7.479478700515e-02,7.656541670065e-02
4.700000e-01,7.362577850410e+00,7.613634526370e+00,7.557655747222e-02,7.727878008009e-02
4.800000e-01,7.438287182248e+00,7.528749170227e+00,7.634936211750e-02,7.798798052314e-02
4.900000e-01,7.513163642776e+00,7.446969197264e+00,7.711353409859e-02,7.869276264108e-02
5.000000e-01,7.587237138167e+00,7.368101140984e+00,7.786938162014e-02,7.939315318733e-02
5.100000e-01,7.660535621698e+00,7.291963631420e+00,7.861719279313e-02,8.008913052014e-02
5.200000e-01,7.733085543243e+00,7.218382178418e+00,7.935724023491e-02,8.078058701663e-02
5.300000e-01,7.804911650714e+00,7.147201702264e+00,8.008977905580e-02,8.146747387431e-02
5.400000e-01,7.876037205993e+00,7.078280945220e+00,8.081504907408e-02,8.214975992218e-02
5.500000e-01,7.946484224023e+00,7.011488086179e+00,8.153327726497e-02,8.282739819971e-02
5.600000e-01,8.016273440642e+00,6.946702162732e+00,8.224467744230e-02,8.350035131202e-02
5.700000e-01,8.085424453089e+00,6.883816843885e+00,8.294945170025e-02,8.416865092588e-02
5.800000e-01,8.153955709125e+00,6.822737354668e+00,8.364779031129e-02,8.483237370613e-02
5.900000e-01,8.221884819599e+00,6.763373896107e+00,8.433987491927e-02,8.549157585697e-02
6.000000e-01,8.289228442712e+00,6.705644128858e+00,8.502587736685e-02,8.614632712412e-02
6.100000e-01,8.356002579130e+00,6.649466474254e+00,8.570596270817e-02,8.679663654183e-02
6.200000e-01,8.422222393566e+00,6.594765986427e+00,8.638028739698e-02,8.744252683022e-02
6.300000e-01,8.487902351202e+00,6.541475655233e+00,8.704900068185e-02,8.808406107380e-02
6.400000e-01,8.553056206284e+00,6.489535826999e+00,8.771224449534e-02,8.872134225596e-02
6.500000e-01,8.617697229007e+00,6.438882361990e+00,8.837015576837e-02,8.935436070512e-02
6.600000e-01,8.681837909620e+00,6.389469150454e+00,8.902286342287e-02,8.998330005112e-02
6.700000e-01,8.745490715593e+00,6.341217459524e+00,8.967049608099e-02,9.060784718210e-02
6.800000e-01,8.808666403126e+00,6.294137662703e+00,9.031316488945e-02,9.122888798799e-02
6.900000e-01,8.871376947900e+00,6.248122066348e+00,9.095099333988e-02,9.184561343850e-02
7.000000e-01,8.933632458831e+00,6.203168295355e+00,9.158408587554e-02,9.245866410327e-02
7.100000e-01,8.995443558897e+00,6.159208087225e+00,9.221255211189e-02,9.306769993920e-02
7.200000e-01,9.056819891067e+00,6.116218926794e+00,9.283649164454e-02,9.367301142395e-02
7.300000e-01,9.117771000372e+00,6.074159683686e+00,9.345600302182e-02,9.427458538637e-02
7.400000e-01,9.178305957006e+00,6.033000716647e+00,9.407117991536e-02,9.487255132774e-02
7.500000e-01,9.238433714554e+00,5.992696809047e+00,9.468211476312e-02,9.546676914945e-02
7.600000e-01,9.298162674168e+00,5.953223263663e+00,9.528889434297e-02,9.605738643787e-02
7.700000e-01,9.357500878819e+00,5.914561670624e+00,9.589160174984e-02,9.664463070092e-02
7.800000e-01,9.416456465883e+00,5.876664387849e+00,9.649032099422e-02,9.722823719589e-02
7.900000e-01,9.475036735986e+00,5.839531495570e+00,9.708512754711e-02,9.780868870454e-02
8.000000e-01,9.533249448324e+00,5.803104896420e+00,9.767610149585e-02,9.838549526133e-02
8.100000e-01,9.591101376496e+00,5.767389856101e+00,9.826331288230e-02,9.895919038354e-02
8.200000e-01,9.648599480171e+00,5.732357453088e+00,9.884683360077e-02,9.952972591273e-02
8.300000e-01,9.705750509927e+00,5.697978381950e+00,9.942673338678e-02,1.000970226553e-01
8.400000e-01,9.762561015012e+00,5.664223073802e+00,1.000030798973e-01,1.006609721495e-01
8.500000e-01,9.819037124708e+00,5.631082165371e+00,1.005759364946e-01,1.012217997436e-01
8.600000e-01,9.875184701705e+00,5.598554201216e+00,1.011453638050e-01,1.017798646620e-01
8.700000e-01,9.931010002267e+00,5.566585823109e+00,1.017114264144e-01,1.023345818727e-01
8.800000e-01,9.986518363339e+00,5.535192369253e+00,1.022741795551e-01,1.028865838889e-01
8.900000e-01,1.004171557219e+01,5.504332642767e+00,1.028336829962e-01,1.034354653700e-01
9.000000e-01,1.009660683714e+01,5.474005066220e+00,1.033899906082e-01,1.039815308730e-01
9.100000e-01,1.015119736009e+01,5.444194674130e+00,1.039431561694e-01,1.045248291129e-01
9.200000e-01,1.020549239804e+01,5.414867470567e+00,1.044932339883e-01,1.050650309882e-01
9.300000e-01,1.025949646831e+01,5.386047882212e+00,1.050402708538e-01,1.056029125206e-01
9.400000e-01,1.031321483962e+01,5.357673966664e+00,1.055843211400e-01,1.061375762582e-01
9.500000e-01,1.036665163404e+01,5.329784548167e+00,1.061254275829e-01,1.066700699280e-01
9.600000e-01,1.041981186939e+01,5.302316868941e+00,1.066636419653e-01,1.071994395329e-01
9.700000e-01,1.047269956089e+01,5.275297455877e+00,1.071990058946e-01,1.077264849371e-01
9.800000e-01,1.052531913474e+01,5.248699546754e+00,1.077315651164e-01,1.082509389108e-01
9.900000e-01,1.057767493205e+01,5.222493804047e+00,1.082613644921e-01,1.087724590107e-01
1.000000e+00,1.062977043032e+01,5.196730042251e+00,1.087884401228e-01,1.092923278851e-01
1.010000e+00,1.068161058119e+01,5.171292358084e+00,1.093128430029e-01,1.098083815637e-01
1.020000e+00,1.073319787163e+01,5.146316287593e+00,1.098345991736e-01,1.103237037115e-01
1.030000e+00,1.078453743669e+01,5.121643612802e+00,1.103537614409e-01,1.108351866335e-01
1.040000e+00,1.083563208115e+01,5.097357763914e+00,1.108703590230e-01,1.113448268283e-01
