#time(s),angle(deg)
0.0,2.99348245362084
1.0,10.975340731791606
2.0,16.2394565764178
3.0,20.40240667526338
4.0,23.660495180979456
5.0,26.702421930200696
6.0,29.281299855270653
7.0,31.80739353482756
8.0,34.15687018124312
9.0,36.36369884095216
10.0,38.39395246864276
11.0,40.45074660550837
12.0,42.41971582463782
13.0,44.25882657247999
14.0,46.089207891914754
15.0,47.8603711705408
16.0,49.579812677173585
17.0,51.20676918509415
18.0,52.842459097952364
19.0,54.44057520977197
20.0,56.05328418439369
21.0,57.632114643189404
22.0,59.14024696644882
23.0,60.66605015177152
24.0,62.16935869875217
25.0,63.65055767358227
26.0,65.15478389318164
27.0,66.55756731111651
28.0,67.98730541109646
29.0,69.44124135363846
30.0,70.84281870983969
31.0,72.23232066963267
32.0,73.65071962546095
33.0,74.98198035643738
34.0,76.42107113830363
35.0,77.77573070734695
36.0,79.1627999778864
37.0,80.5060724009998
38.0,81.883807977068
39.0,83.18181062354509
40.0,84.51579798266462
41.0,85.8866073689067
42.0,87.25694489939585
43.0,88.62780544545677
44.0,90.0
