#time(s),angle(deg)
0.0,2.9924882089163605
1.0,9.127071100641917
2.0,14.90108447569592
3.0,19.104879908235585
4.0,22.636438175532057
5.0,25.69371372803028
6.0,28.429025646959456
7.0,30.93379412472048
8.0,33.323568354606394
9.0,35.563843190680885
10.0,37.74404511329234
11.0,39.69538726523115
12.0,41.67920796461673
13.0,43.52844406700256
14.0,45.36630775483137
15.0,47.14459256112274
16.0,48.86874834896791
17.0,50.54458729577354
18.0,52.227383886069056
19.0,53.730215589623285
20.0,55.384832244677476
21.0,56.96194974733068
22.0,58.463441802345805
23.0,59.94209533095104
24.0,61.48074506808968
25.0,62.91435640279638
26.0,64.41023015365444
27.0,65.8474070956297
28.0,67.26751222263042
29.0,68.67297607203716
30.0,70.02618613735709
31.0,71.44527610720579
32.0,72.85397370631044
33.0,74.17475394773952
34.0,75.56436930917071
35.0,76.90842142470889
36.0,78.2837574826765
37.0,79.65361241530208
38.0,80.98123698518786
39.0,82.30503778574622
40.0,83.66420946462313
41.0,84.87094636114709
42.0,86.22771949830847
43.0,87.58462215816408
44.0,88.9425027236265
45.0,90.0
