#time(s),angle(deg)
0.0,2.992188438828166
1.0,8.055576479619953
2.0,14.591832761633398
3.0,18.996027296975395
4.0,22.646107162470216
5.0,25.61207825429118
6.0,28.274305616915157
7.0,30.940486837294706
8.0,33.2590065553168
9.0,35.43538222729487
10.0,37.55755494068846
11.0,39.635435836935116
12.0,41.505290804812915
13.0,43.41442896812003
14.0,45.25434312668742
15.0,46.98286732586005
16.0,48.70760271842976
17.0,50.38603949566725
18.0,51.97612687208494
19.0,53.573475659395434
20.0,55.229440999429755
21.0,56.760994763413215
22.0,58.26450385175348
23.0,59.82912706474428
24.0,61.28255064373812
25.0,62.71536651267697
26.0,64.2119496327895
27.0,65.64800268577876
28.0,67.06841624591983
29.0,68.47254338184794
30.0,69.90392721852379
31.0,71.32155914170825
32.0,72.68921519158954
33.0,74.04763334504982
34.0,75.43512847309219
35.0,76.7771328968723
36.0,78.15076876532035
37.0,79.48054985717242
38.0,80.80619558728742
39.0,81.9774142611608
40.0,83.29702786052357
41.0,84.61498862891851
42.0,86.15785817912645
43.0,87.51269668543068
44.0,88.86858077091738
45.0,90.0
